Starting_point_id,Dropping_point_id,Weekday,Intercept,Power_0,Power_1,Power_2,Power_3,Power_4,Power_5,Power_6,Power_7
4,5,Sunday,20.679858914252883,1.0768098414787124e-16,3.360577855352774e-10,1.2960005294789445e-11,2.5049961017221825e-09,-9.292654280327063e-12,1.2902915855088902e-14,-7.881664650044042e-18,1.7815965247549918e-21
4,5,Monday,55.76355941965334,-1.0171072406077637e-23,-4.723489840447153e-19,-7.020846268564701e-18,-3.5075346084150676e-15,-1.054110946168065e-12,2.493150086780563e-15,-1.9758443540232537e-18,5.213297229893384e-22
4,5,Tuesday,19.04960051814666,1.792970126241965e-16,3.322879984537357e-11,2.1351268965589863e-11,3.974484534996049e-09,-1.3839089719045325e-11,1.8102808474800437e-14,-1.0476976090186417e-17,2.2567128051780927e-21
4,5,Wednesday,33.63865174527722,-1.1686914864616069e-23,1.8095439468347817e-17,-8.3025700999598e-18,-4.246418207438151e-15,-1.3116883377583234e-12,3.315458853547007e-15,-2.74339984147815e-18,7.454669168162261e-22
4,5,Thursday,25.37346828014723,1.3932042456281584e-16,1.1989228674452397e-10,1.8828279716576826e-11,3.744660806332481e-09,-1.3720113827366907e-11,1.8682977057616633e-14,-1.1146385403977456e-17,2.454877128009667e-21
4,5,Friday,22.03149748974936,6.264312524961602e-17,8.729805931785984e-11,9.295043448352786e-12,1.8262109040716273e-09,-6.898471837129701e-12,9.700248620910013e-15,-5.995598823496021e-18,1.3737433924197968e-21
4,8,Saturday,33.945899082325866,-5.564376567432853e-24,1.1552738919433987e-18,-4.133207062978341e-18,-2.13058160824485e-15,-6.586305999352324e-13,1.5726396130100484e-15,-1.2394786679912227e-18,3.2245728410460505e-22
4,8,Sunday,21.083845229712004,6.61954434019085e-17,-1.2015789158086536e-10,7.985771473769077e-12,1.5441679039218684e-09,-5.706309284329167e-12,7.866119144022948e-15,-4.754085050085936e-18,1.0606551458159264e-21
4,8,Monday,42.66844017011821,-7.539549066554346e-24,1.1246455805369893e-17,-5.179901870233998e-18,-2.5811654982750548e-15,-7.739236656658447e-13,1.84443112596037e-15,-1.470876964608065e-18,3.9091387106206204e-22
4,8,Tuesday,25.98489303314389,8.006176993758782e-17,1.483770854278584e-11,9.534013419415685e-12,1.7747318707977867e-09,-6.433508341483971e-12,8.716974540338421e-15,-5.204619255236318e-18,1.1532999074188726e-21
4,8,Wednesday,29.666631268844625,-8.22968655882961e-24,-3.097660358908493e-17,-5.839208547709408e-18,-2.9888713474907677e-15,-9.230965112838165e-13,2.3825111938241692e-15,-2.0117409466816786e-18,5.580387374505563e-22
4,8,Thursday,33.715194291864215,6.902493806558826e-17,8.283241706158109e-12,9.079994322996299e-12,1.790127761212562e-09,-7.042869855627859e-12,1.0148031268933355e-14,-6.33728334842122e-18,1.449538313130727e-21
4,8,Friday,20.12313528957045,7.343980602753653e-17,3.1780215399987813e-12,1.0921592227798541e-11,2.1454723380216633e-09,-8.159245649897938e-12,1.154847466877293e-14,-7.18004878032229e-18,1.6535863797325024e-21
5,1,Saturday,27.822831726120626,-1.4814916647746952e-24,-1.6658701719254136e-18,-1.1004634573841567e-18,-5.676700842309872e-16,-1.754419125039084e-13,4.722208636098272e-16,-4.0520192197242805e-19,1.1218482096005794e-22
5,1,Sunday,19.07730221148858,5.715104093482211e-17,-1.0374050049848852e-10,6.894663436422111e-12,1.3331867578050194e-09,-4.507760463094272e-12,5.8886124834402315e-15,-3.461011332422914e-18,7.638101955346635e-22
5,1,Monday,40.291007025622065,-2.7296786846898923e-24,-1.2676759748478928e-19,-1.8842313383722794e-18,-9.413403914760595e-16,-2.8289870672199923e-13,7.155866323619086e-16,-6.009133636732011e-19,1.6603593941265516e-22
5,1,Tuesday,20.51872317438964,9.986385448537117e-17,1.85075918157021e-11,1.1892111777435387e-11,2.2136866310519154e-09,-7.611661766549966e-12,9.8709858735247e-15,-5.684244204548161e-18,1.2217774315676373e-21
5,1,Wednesday,25.425170807202797,-1.708315040749991e-24,-5.592182451041688e-18,-1.2124652734036042e-18,-6.207259392663134e-16,-1.917397595406655e-13,6.486394611012627e-16,-6.370235149270186e-19,1.9381817978299793e-22
5,1,Thursday,23.517040488597658,9.379307801909417e-17,-3.6263704861398644e-10,1.2640660093190894e-11,2.5155473553876416e-09,-9.225851628982408e-12,1.270591779754951e-14,-7.702939648677922e-18,1.7266568012921724e-21
5,1,Friday,20.4303918113833,1.0302737808257463e-16,4.45838875085677e-12,1.532170180087582e-11,3.009842768231221e-09,-1.1992846752417728e-11,1.7609124087406104e-14,-1.1260751249310493e-17,2.6481957382574478e-21
